Symbol,Name,DowComposite,Nasdaq100,Russell1000,Russell2000,S&P100,S&P500,S&P400,S&P600,WatchList,Sector,Full_Time_Employees,Industry,Previous_Close,Days_Range,Market_Cap,Earnings_Date,_52_Week_Range,Volume,PE_Ratio_TTM,Beta,_1y_Target_Est,EPS_TTM,Forward_Dividend_and_Yield,Ex_Dividend_Date,Open,Avg_Volume
CRBP,Corbus Pharma,0,0,0,1,0,0,0,0,0,Healthcare,25,Biotechnology,8.30,8.05 - 8.38,449.959M,"Aug 14, 2017",5.30 - 10.50,"502,228",,2.21,25.00,-0.61,N/A (N/A),,8.35,"850,246"
CRC,California Resources Corporatio,0,0,0,1,0,0,0,0,0,Basic Materials,"1,450",Independent Oil & Gas,21.55,21.21 - 22.16,940.526M,"Feb 26, 2018",6.47 - 23.42,"1,614,949",,6.57,17.50,-4.8,0.00 (0.00%),2015-09-08,21.68,"1,709,201"
CRCM,Care.Com Inc,0,0,0,1,0,0,0,0,0,Technology,412,Internet Information Providers,19.26,19.15 - 19.42,576.4M,"Feb 7, 2018",8.05 - 20.88,"137,511",136.86,1.3,17.67,0.14,N/A (N/A),,19.35,"343,663"
CRD.B,Crawford Co Cl B,0,0,0,1,0,0,0,0,0,,,,,N/A - N/A,,,undefined - undefined,,,,,,N/A (N/A),,,
CREE,Cree Inc,0,0,0,1,0,0,1,0,0,Technology,"6,039",Semiconductor Equipment & Materials,36.46,36.44 - 37.01,3.581B,"Jan 22, 2018",20.50 - 40.24,"781,158",,0.61,31.60,-1.22,N/A (N/A),,36.63,"1,920,773"
CRI,Carter's Inc,0,0,1,0,0,0,1,0,0,Consumer Goods,"18,300",Textile - Apparel Clothing,118.35,118.16 - 119.45,5.622B,"Feb 21, 2018",77.94 - 119.45,"1,064,848",22.89,0.33,120.50,5.19,1.48 (1.26%),2017-11-17,119.08,"610,771"
CRIS,Curis Inc,0,0,0,1,0,0,0,0,0,Healthcare,58,Biotechnology,0.7013,0.6937 - 0.7599,120.594M,"Mar 7, 2018",0.6700 - 3.2200,"2,004,921",,2.05,5.50,-0.395,N/A (N/A),,0.7096,"1,587,369"
CRL,Charles River Laboratories Intl,0,0,1,0,0,0,1,0,0,Healthcare,"11,000",Medical Laboratories & Research,108.06,104.86 - 108.23,4.989B,"Feb 12, 2018",77.61 - 119.05,"694,058",25.72,0.83,111.82,4.1,N/A (N/A),,108.23,"375,698"
CRM,Salesforce.Com Inc,0,0,1,0,0,1,0,0,0,Technology,"25,000",Application Software,109.10,108.91 - 110.61,79.626B,"Feb 26, 2018",74.37 - 110.61,"5,749,471","9,186.67",1.56,121.97,0.01,N/A (N/A),,109.23,"4,325,822"
CRMT,America's Car-Mart,0,0,0,1,0,0,0,0,0,Services,"1,460",Auto Dealerships,47.40,46.50 - 47.55,337.483M,"Feb 19, 2018",30.20 - 49.40,"20,618",17.61,0.92,54.00,2.68,N/A (N/A),,47.55,"45,930"
CROX,Crocs Inc,0,0,0,1,0,0,0,1,0,Consumer Goods,"5,068",Textile - Apparel Footwear & Accessories,13.61,13.41 - 13.69,948.875M,"Feb 27, 2018",5.93 - 14.30,"721,350",,0.49,11.64,-0.32,N/A (N/A),,13.69,"1,364,377"
CRR,Carbo Ceramics,0,0,0,1,0,0,0,1,0,Basic Materials,431,Oil & Gas Equipment & Services,11.98,12.06 - 12.53,329.988M,"Jan 24, 2018",5.83 - 16.70,"832,978",,1.73,9.16,-9.42,0.00 (0.00%),2015-10-29,12.06,"823,396"
CRS,Carpenter Technology Corp,0,0,0,1,0,0,1,0,0,Industrial Goods,"4,600",Metal Fabrication,54.09,53.40 - 54.33,2.515B,"Jan 31, 2018",34.24 - 54.44,"352,767",33.41,2.3,52.17,1.61,0.72 (1.37%),2017-10-23,54.33,"330,184"
CRUS,Cirrus Logic Inc,0,0,0,1,0,0,1,0,0,Technology,"1,444",Semiconductor - Specialized,52.34,52.21 - 53.36,3.364B,"Jan 30, 2018",48.61 - 71.97,"531,770",12.96,0.03,66.60,4.08,N/A (N/A),,52.21,"863,815"
CRVL,Corvel Cp,0,0,0,1,0,0,0,1,0,Financial,"3,629",Insurance Brokers,52.10,50.65 - 51.90,976.052M,"Jan 29, 2018",36.00 - 61.20,"16,672",30.85,0.47,0.00,1.68,N/A (N/A),,51.90,"30,744"
CRVS,Corvus Pharma Com,0,0,0,1,0,0,0,0,0,,,,10.51,10.18 - 10.78,218.618M,"Aug 3, 2017",8.27 - 22.14,"106,972",,,23.00,-2.69,N/A (N/A),,10.78,"75,907"
CRY,Cryolife,0,0,0,1,0,0,0,1,0,Healthcare,665,Medical Appliances & Equipment,18.85,18.55 - 19.10,674.011M,"Feb 13, 2018",14.03 - 24.00,"122,308",66.85,0.49,24.93,0.28,0.00 (0.00%),2015-12-09,18.80,"138,406"
CRZO,Carrizo Oil & Gas,0,0,0,1,0,0,0,1,0,Basic Materials,227,Independent Oil & Gas,24.57,24.15 - 25.10,1.982B,"Feb 21, 2018",11.10 - 37.47,"3,084,998",16.71,2.41,27.96,1.46,N/A (N/A),,24.51,"3,051,165"
CSBK,Clifton Bancorp Inc,0,0,0,1,0,0,0,0,0,Financial,119,Savings & Loans,16.98,16.97 - 17.15,358.902M,"Jan 30, 2018",15.21 - 17.94,"26,464",61.22,0.24,19.50,0.28,0.24 (1.43%),2017-11-16,17.00,"102,280"
CSCO,Cisco Systems Inc,1,1,1,0,1,1,0,0,0,Technology,"72,900",Networking & Communication Devices,40.10,40.05 - 40.93,202.046B,"Feb 14, 2018",29.84 - 40.93,"23,770,515",21.29,1.53,38.98,1.92,1.16 (2.93%),2018-01-04,40.22,"19,777,265"
CSFL,Centerstate Bks Inc,0,0,0,1,0,0,0,0,0,Financial,952,Regional - Southeast Banks,26.14,26.20 - 26.65,1.592B,"Jan 23, 2018",21.77 - 27.95,"581,742",20.92,0.57,29.40,1.27,0.24 (0.93%),2017-12-14,26.21,"294,238"
CSGP,Costar Group Inc,0,0,1,0,0,0,0,0,0,Financial,"3,064",Property Management,317.31,316.12 - 322.65,11.64B,"Feb 20, 2018",197.18 - 322.65,"239,441",97.32,1.52,341.60,3.31,N/A (N/A),,318.16,"222,495"
CSGS,C S G Sys Intl,0,0,0,1,0,0,0,1,0,Technology,"3,312",Business Software & Services,45.36,44.61 - 46.06,1.528B,"Feb 7, 2018",35.48 - 50.94,"112,845",25.48,1.16,47.00,1.79,0.79 (1.78%),2017-12-04,45.40,"124,746"
CSII,Cardiovascular Syst,0,0,0,1,0,0,0,0,0,Healthcare,579,Medical Appliances & Equipment,23.89,23.89 - 24.92,844.848M,"Jan 23, 2018",23.00 - 33.11,"266,132",,2.05,33.67,-0.06,N/A (N/A),,23.94,"237,223"
CSL,Carlisle Companies Inc,0,0,1,0,0,0,1,0,0,Consumer Goods,"12,000",Rubber & Plastics,118.28,116.80 - 118.20,7.251B,"Feb 8, 2018",92.09 - 119.21,"272,173",23.13,0.58,128.20,5.06,1.48 (1.26%),2017-11-16,117.91,"306,777"
CSLT,Castlight Health Inc,0,0,0,1,0,0,0,0,0,Technology,381,Application Software,4.00,3.95 - 4.35,808.508M,"Feb 13, 2018",3.05 - 4.75,"639,695",,1.85,5.51,-0.48,N/A (N/A),,4.00,"320,590"
CSOD,Cornerstone Ondemand,0,0,0,1,0,0,0,0,0,Technology,"1,960",Application Software,38.92,38.75 - 39.70,2.268B,"Feb 13, 2018",33.24 - 44.25,"557,109",,0.85,42.85,-1.25,N/A (N/A),,38.95,"575,082"
CSRA,Csra Inc,0,0,1,0,0,1,0,0,0,,,,32.11,31.89 - 32.26,5.254B,"Feb 5, 2018",27.38 - 33.67,"976,519",16.80,,36.82,1.91,0.40 (1.27%),2018-01-03,32.16,"1,067,842"
CSS,Css Industries,0,0,0,1,0,0,0,0,0,Services,"1,540","Specialty Retail, Other",28.00,27.66 - 28.47,252.851M,"Feb 5, 2018",23.16 - 30.29,"36,473",12.21,0.35,27.25,2.27,0.80 (2.89%),2017-11-30,28.08,"40,868"
CSTE,Caesarstone Sdot-Yam,0,0,0,1,0,0,0,0,0,Industrial Goods,"1,434",General Building Materials,24.50,24.35 - 24.70,841.305M,"Feb 6, 2018",21.15 - 44.00,"263,264",18.93,1.83,28.75,1.29,0.00 (0.00%),2014-11-24,24.50,"247,500"
CSTR,Capstar Financial Holdings Inc,0,0,0,1,0,0,0,0,0,Services,170,"Specialty Retail, Other",21.42,20.90 - 21.52,243.539M,"Jan 29, 2018",16.00 - 22.22,"22,935",63.81,,19.75,0.34,N/A (N/A),,20.90,"32,079"
CSU,Capital Senior Living Corp,0,0,0,1,0,0,0,0,0,Healthcare,"4,152",Long-Term Care Facilities,12.32,12.19 - 12.52,378.842M,"Feb 26, 2018",11.60 - 17.60,"431,788",,1.51,17.40,-1.65,N/A (N/A),,12.37,"263,450"
CSV,Carriage Services,0,0,0,1,0,0,0,0,0,Services,"1,094",Personal Services,26.41,26.34 - 26.60,427.882M,"Oct 23, 2017",23.15 - 28.96,"135,009",25.95,0.56,33.00,1.02,0.30 (1.14%),2017-11-10,26.41,"97,319"
CSWI,Csw Industrials Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,750,Diversified Machinery,47.10,47.15 - 48.45,769.74M,"Feb 12, 2018",34.05 - 50.00,"22,453",40.44,,,1.19,N/A (N/A),,47.30,"34,685"
CSX,CSX Corp,1,1,1,0,0,1,0,0,0,Services,"26,628",Railroads,58.69,58.63 - 59.37,52.953B,"Jan 16, 2018",36.21 - 59.76,"4,744,244",30.53,1.33,61.22,1.94,0.80 (1.37%),2017-11-29,58.63,"7,409,076"
CTAS,Cintas Corp,0,1,1,0,0,1,0,0,0,Services,"42,000",Business Services,162.05,160.06 - 162.25,17.084B,"Mar 20, 2018",112.96 - 163.45,"449,058",31.81,0.95,165.80,5.05,1.62 (1.01%),2017-11-09,161.81,"572,495"
CTB,Cooper Tire & Rubber Company,0,0,0,1,0,0,1,0,0,Consumer Goods,"10,540",Rubber & Plastics,39.70,39.55 - 40.00,2.043B,"Feb 15, 2018",31.55 - 44.50,"533,428",10.27,0.09,42.00,3.88,0.42 (1.06%),2017-11-30,39.75,"655,884"
CTBI,Community TR Bancp,0,0,0,1,0,0,0,0,0,Financial,996,Regional - Southeast Banks,50.05,49.75 - 50.45,885.975M,"Jan 16, 2018",40.33 - 51.90,"36,575",18.25,0.42,46.00,2.75,1.32 (2.76%),2017-12-14,50.20,"34,233"
CTL,Centurylink,0,0,1,0,0,1,0,0,0,Technology,"39,500",Telecom Services - Domestic,17.47,17.16 - 17.52,18.558B,"Feb 6, 2018",13.16 - 27.61,"11,531,292",29.93,0.73,19.10,0.58,2.16 (12.36%),2017-11-24,17.50,"17,087,982"
CTLT,Catalent Inc,0,0,0,1,0,0,1,0,0,Healthcare,"10,800",Drugs - Generic,42.40,42.36 - 43.07,5.713B,"Feb 5, 2018",25.51 - 43.39,"549,834",50.12,1.49,45.63,0.86,N/A (N/A),,42.51,"820,057"
CTMX,Cytomx Thera,0,0,0,1,0,0,0,0,0,,,,25.14,24.86 - 25.47,966.744M,"Nov 1, 2017",11.06 - 25.60,"330,820",,,34.29,-1.58,N/A (N/A),,25.23,"360,607"
CTO,Consolidated-Tomoka Land Co,0,0,0,1,0,0,0,0,0,Financial,14,Real Estate Development,67.58,65.80 - 67.41,374.311M,"Jul 21, 2017",49.73 - 67.58,"3,390",16.64,0.74,,4.03,0.20 (0.30%),2017-11-09,67.41,"14,300"
CTRE,Caretrust REIT Inc,0,0,0,1,0,0,0,1,0,,,,15.69,15.39 - 15.74,1.171B,"Feb 5, 2018",14.71 - 19.86,"648,184",33.62,0.47,19.75,0.46,0.74 (4.66%),2017-12-28,15.65,"468,852"
CTRL,Control4 Corp,0,0,0,1,0,0,0,1,0,Technology,546,Diversified Electronics,30.87,30.10 - 31.54,770.628M,"Feb 7, 2018",10.67 - 35.99,"751,236",56.69,-0.19,31.20,0.54,N/A (N/A),,30.94,"584,703"
CTRN,Citi Trends Inc,0,0,0,1,0,0,0,0,0,Services,"2,700",Apparel Stores,25.57,24.97 - 26.00,344.072M,"Mar 8, 2018",15.54 - 28.12,"129,170",24.24,0.75,25.00,1.03,0.32 (1.27%),2017-11-27,25.70,"130,941"
CTRP,Ctrip.Com Intl Ltd,0,1,0,0,0,0,0,0,0,Services,"37,000",Lodging,47.71,47.59 - 48.20,24.957B,"Feb 20, 2018",42.54 - 60.65,"3,778,726",72.21,1.82,54.81,0.66,0.00 (0.00%),2008-06-10,47.99,"5,032,863"
CTS,Cts Corp,0,0,0,1,0,0,0,1,0,Technology,"2,796",Diversified Electronics,27.70,27.50 - 28.09,912.355M,"Oct 26, 2017",19.30 - 28.35,"46,469",25.65,1.06,25.00,1.08,0.16 (0.60%),2017-12-28,27.70,"72,566"
CTSH,Cognizant Tech Sol,0,1,1,0,0,1,0,0,0,Technology,"256,100",Business Software & Services,74.01,73.89 - 74.85,43.964B,"Feb 6, 2018",51.52 - 76.51,"3,816,291",23.11,0.96,83.40,3.23,0.60 (0.81%),2017-11-17,74.10,"3,500,831"
CTT,Catchmark Timber Trust Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,17,"Lumber, Wood Production",13.12,12.98 - 13.19,564.078M,"Aug 7, 2017",10.10 - 13.47,"140,431",,0.68,13.83,-0.35,0.54 (4.13%),2017-11-29,13.14,"281,942"
CTWS,Conn Water Svcs In,0,0,0,1,0,0,0,0,0,Utilities,266,Water Utilities,54.08,53.04 - 55.06,640.465M,"Nov 6, 2017",50.75 - 65.04,"45,152",25.55,-0.07,64.00,2.08,1.19 (2.22%),2017-11-30,54.08,"37,879"
CTXS,Citrix Systems Inc,0,1,1,0,0,1,0,0,0,Technology,"9,600",Business Software & Services,89.81,89.55 - 90.20,13.567B,"Jan 23, 2018",80.20 - 91.83,"1,066,163",30.50,1.57,87.67,2.95,N/A (N/A),,90.13,"1,587,652"
CUB,Cubic Corp,0,0,0,1,0,0,0,1,0,Technology,"8,700",Scientific & Technical Instruments,60.90,61.05 - 62.65,1.686B,"Feb 7, 2018",39.58 - 64.95,"107,370",,1.37,61.40,-0.41,0.27 (0.45%),2017-08-30,61.05,"154,419"
CUBE,Cubesmart,0,0,1,0,0,0,0,0,0,Financial,"2,136",REIT - Industrial,27.68,27.10 - 27.60,4.989B,"Feb 14, 2018",22.83 - 29.79,"1,847,624",42.00,0.2,29.33,0.65,1.20 (4.33%),2017-12-29,27.51,"1,680,922"
CUBI,Customers Bancorp,0,0,0,1,0,0,0,1,0,Financial,739,Regional - Northeast Banks,29.74,29.58 - 30.39,924.183M,"Jan 24, 2018",24.75 - 36.35,"268,781",15.52,0.69,40.20,1.93,N/A (N/A),,29.89,"257,961"
CUBN,Commerce Un Bcsh,0,0,0,1,0,0,0,0,0,Financial,143,Regional - Southeast Banks,25.64,25.64 - 25.90,231.33M,"Jan 24, 2018",20.42 - 26.20,"11,887",25.36,0.28,25.25,1.01,0.24 (0.94%),2017-10-06,25.70,"7,572"
CUDA,Barracuda Networks Inc,0,0,0,1,0,0,0,1,0,Technology,"1,490",Communication Equipment,27.50,27.48 - 27.55,1.474B,"Jan 8, 2018",19.06 - 27.95,"545,145",144.74,3.02,28.75,0.19,N/A (N/A),,27.50,"1,301,807"
CULP,Culp Inc,0,0,0,1,0,0,0,0,0,,,,31.85,31.70 - 32.90,396.064M,,26.15 - 34.75,"23,995",18.64,0.1,35.00,1.71,0.36 (1.17%),2017-12-29,31.80,"18,920"
CUTR,Cutera Inc,0,0,0,1,0,0,0,0,0,Healthcare,297,Medical Appliances & Equipment,49.35,48.55 - 50.50,697.599M,"Feb 12, 2018",18.00 - 50.50,"273,894",66.95,0.21,54.00,0.75,N/A (N/A),,49.40,"279,285"
CUZ,Cousins Properties Inc,0,0,0,1,0,0,1,0,0,Financial,279,REIT - Diversified,9.08,8.99 - 9.09,3.78B,"Feb 7, 2018",7.81 - 9.63,"1,297,345",16.51,1.14,10.00,0.55,0.24 (2.63%),2017-12-29,9.09,"3,319,604"
CVA,Covanta Holding Corp,0,0,0,1,0,0,0,0,0,Industrial Goods,"3,600",Waste Management,16.80,16.80 - 17.00,2.214B,"Feb 13, 2018",13.00 - 17.30,"687,265",,0.99,18.21,-0.52,1.00 (6.06%),2017-12-28,16.85,"1,007,949"
CVBF,Cvb Financial Corp,0,0,0,1,0,0,0,1,0,,,,24.33,24.19 - 24.71,2.677B,"Jan 24, 2018",19.58 - 25.49,"480,898",23.37,1.35,24.00,1.04,0.56 (2.36%),2018-01-04,24.47,"336,007"
CVCO,Cavco Inds Inc,0,0,0,1,0,0,0,1,0,Industrial Goods,"4,300",Residential Construction,161.00,159.60 - 164.20,1.474B,"May 26, 2017",93.65 - 169.75,"25,844",36.30,2.08,174.50,4.5,N/A (N/A),,159.60,"36,058"
CVCY,Central Vly Cmty Bcp,0,0,0,1,0,0,0,0,0,Financial,303,Regional - Pacific Banks,20.33,19.98 - 20.48,273.256M,"Jan 23, 2018",17.62 - 23.94,"16,541",15.30,0.07,23.75,1.32,0.24 (1.21%),2017-11-02,20.25,"35,158"
CVG,Convergys Corp,0,0,0,1,0,0,1,0,0,Services,"120,000",Business Services,22.70,22.68 - 23.07,2.116B,"Feb 20, 2018",20.15 - 26.66,"1,522,023",17.53,0.9,24.75,1.31,0.40 (1.75%),2017-12-21,22.75,"897,136"
CVGI,Commercial Vehicle G,0,0,0,1,0,0,0,0,0,Services,"7,000",Auto Parts Wholesale,11.08,10.86 - 11.25,333.561M,"Mar 7, 2018",5.15 - 11.85,"132,211",56.96,1.39,12.00,0.19,N/A (N/A),,11.10,"210,950"
CVGW,Calavo Growers Inc,0,0,0,1,0,0,0,1,0,Consumer Goods,"2,096",Farm Products,86.90,86.85 - 88.90,1.552B,"Mar 8, 2018",48.75 - 89.55,"260,663",41.55,0.77,92.00,2.13,0.95 (1.09%),2017-11-16,87.20,"150,373"
CVI,Cvr Energy Inc,0,0,0,1,0,0,0,0,0,Basic Materials,"1,487",Oil & Gas Refining & Marketing,38.74,38.68 - 39.47,3.415B,"Feb 14, 2018",16.75 - 39.47,"386,007",84.04,1.6,19.00,0.47,2.00 (5.17%),2017-11-09,38.91,"435,625"
CVLT,Commvault Systems,0,0,0,1,0,0,1,0,0,Technology,"2,656",Application Software,54.70,53.55 - 54.85,2.489B,"Jan 23, 2018",47.61 - 64.60,"677,312","1,418.42",1.68,66.00,0.04,N/A (N/A),,54.75,"480,096"
CVLY,Codorus Valley Bncp,0,0,0,1,0,0,0,0,0,Financial,269,Regional - Northeast Banks,27.98,28.00 - 28.80,254.003M,"Jan 17, 2018",22.82 - 33.46,"2,923",17.80,0.57,,1.61,0.51 (1.84%),2017-10-23,28.00,"11,039"
CVNA,Carvana Co. Class A,0,0,0,1,0,0,0,0,0,,,,20.57,20.49 - 21.00,2.888B,,8.14 - 24.89,"165,052",,,21.41,-7.75,N/A (N/A),,20.57,"485,938"
CVRS,Corindus Vascular Robotics Inc,0,0,0,1,0,0,0,0,0,Healthcare,92,Medical Appliances & Equipment,1.05,1.02 - 1.06,194.364M,,0.40 - 2.25,"212,712",,0.9,2.38,-0.23,N/A (N/A),,1.06,"773,571"
CVS,CVS Corp,0,0,1,0,1,1,0,0,0,Healthcare,"158,000",Health Care Plans,79.02,78.51 - 79.68,79.811B,"Feb 7, 2018",66.45 - 84.72,"7,098,202",16.23,0.57,87.05,4.85,2.00 (2.58%),2018-01-23,78.92,"9,805,542"
CVTI,Covenant Transportn,0,0,0,1,0,0,0,0,0,Services,"4,400",Trucking,28.64,27.76 - 28.84,511.951M,"Oct 17, 2017",15.86 - 30.61,"72,736",42.47,1.67,27.50,0.66,N/A (N/A),,28.56,"144,096"
CVX,Chevron Corp,1,0,1,0,1,1,0,0,0,Basic Materials,"55,200",Major Integrated Oil & Gas,132.57,132.11 - 133.85,253.756B,"Feb 2, 2018",102.55 - 133.85,"7,232,883",38.89,1.32,129.82,3.43,4.32 (3.36%),2017-11-16,132.19,"5,295,517"
CW,Curtiss-Wright Corp,0,0,0,1,0,0,1,0,0,Industrial Goods,"8,000",Diversified Machinery,127.64,127.34 - 129.39,5.681B,"Feb 13, 2018",82.77 - 129.39,"264,745",26.72,1.06,132.00,4.82,0.60 (0.48%),2017-11-28,128.10,"221,949"
CWCO,Cons Water Co Inc,0,0,0,1,0,0,0,0,0,Utilities,117,Water Utilities,12.90,12.70 - 13.20,193.722M,"May 11, 2017",10.00 - 13.95,"50,438",32.50,0.51,15.00,0.4,0.34 (2.66%),2018-01-02,12.90,"47,876"
CWH,Camping World Holdings Inc,0,0,0,1,0,0,0,0,0,Financial,"7,221",REIT - Office,44.83,44.86 - 46.03,4.046B,,26.30 - 47.62,"388,465",,,49.10,-4.65,0.32 (0.74%),2017-12-14,44.86,"711,779"
CWST,Casella Waste Sys,0,0,0,1,0,0,0,0,0,Industrial Goods,"2,000",Waste Management,23.50,23.29 - 23.86,998.538M,"Feb 27, 2018",11.15 - 23.86,"143,450",,0.96,22.75,-1.29,N/A (N/A),,23.54,"260,249"
CWT,California Water Service Group Holding,0,0,0,1,0,0,0,1,0,Utilities,"1,165",Water Utilities,43.10,42.55 - 43.30,2.057B,"Feb 21, 2018",32.65 - 46.15,"235,971",30.18,0.42,40.50,1.42,0.72 (1.69%),2017-11-03,43.20,"181,650"
CXO,Concho Resources Inc,0,0,1,0,0,1,0,0,0,Basic Materials,"1,085",Oil & Gas Drilling & Exploration,157.86,156.90 - 159.37,23.477B,"Feb 20, 2018",106.73 - 159.52,"879,485",41.77,1.0,161.13,3.81,N/A (N/A),,158.46,"1,081,573"
CXP,Columbia Property Trust Inc,0,0,1,0,0,0,0,0,0,Financial,90,REIT - Office,21.74,21.62 - 21.87,2.618B,"Feb 15, 2018",20.37 - 23.48,"967,070",13.02,1.15,24.50,1.68,0.80 (3.65%),2017-11-30,21.75,"670,844"
CXW,Corecivic Inc,0,0,1,0,0,0,1,0,0,Financial,"13,755",REIT - Diversified,22.61,21.92 - 22.54,2.638B,"Feb 6, 2018",21.41 - 35.33,"1,168,761",13.37,1.09,32.33,1.67,1.68 (7.74%),2017-12-29,22.54,"925,311"
CY,Cypress Semiconductr,0,0,1,0,0,0,1,0,0,Technology,"6,546",Semiconductor - Broad Line,16.87,16.74 - 17.10,5.696B,"Jan 31, 2018",10.99 - 17.42,"4,649,139",,2.47,18.35,-0.4,0.44 (2.65%),2017-12-27,16.87,"5,963,822"
CYBE,Cyberoptics Cp,0,0,0,1,0,0,0,0,0,Technology,164,Scientific & Technical Instruments,15.95,15.70 - 16.15,110.594M,"Oct 23, 2017",11.35 - 41.18,"62,353",16.32,-0.94,19.33,0.97,N/A (N/A),,15.90,"103,449"
CYH,Community Health Systems,0,0,0,1,0,0,0,1,0,Healthcare,"96,000",Hospitals,4.97,4.72 - 5.18,576.836M,"Feb 19, 2018",3.85 - 10.51,"8,363,622",,1.34,4.81,-6.0,0.00 (0.00%),2012-12-13,4.98,"3,428,452"
CYS,Cys Investments Inc,0,0,0,1,0,0,0,0,0,Financial,17,REIT - Diversified,7.79,7.65 - 7.80,1.192B,"Feb 13, 2018",7.46 - 8.98,"1,241,830",,0.51,8.17,-0.2,1.00 (12.90%),2017-12-21,7.70,"1,139,726"
CYTK,Cytokinetics,0,0,0,1,0,0,0,1,0,Healthcare,127,Biotechnology,8.80,8.70 - 8.90,476.88M,"Feb 14, 2018",7.00 - 17.20,"181,252",,1.71,14.75,-1.74,N/A (N/A),,8.85,"788,266"
CZNC,Citizens Nrthn Cp,0,0,0,1,0,0,0,0,0,Financial,291,Regional - Mid-Atlantic Banks,24.78,24.39 - 25.07,299.354M,"Jan 17, 2018",22.00 - 26.75,"19,162",19.02,0.32,26.00,1.29,1.04 (4.30%),2017-10-27,24.78,"17,525"
CZR,Caesars Entertainment Corp,0,0,0,1,0,0,0,0,0,Services,"31,000",Resorts & Casinos,13.15,12.93 - 13.20,9.189B,"Feb 12, 2018",8.50 - 13.60,"3,368,178",,-0.12,15.40,-20.32,N/A (N/A),,13.20,"10,270,536"
D,Dominion Resources,1,0,1,0,0,1,0,0,0,Utilities,"16,200",Electric Utilities,76.21,75.63 - 76.44,48.87B,"Jan 29, 2018",70.87 - 85.30,"4,350,884",22.38,0.2,82.17,3.39,3.08 (4.04%),2017-11-30,76.16,"2,632,726"
DAKT,Daktronics Inc,0,0,0,1,0,0,0,1,0,Technology,"2,405",Computer Based Systems,9.40,9.28 - 9.44,415.389M,"Feb 19, 2018",7.84 - 10.86,"61,901",36.92,1.03,14.00,0.25,0.28 (3.00%),2017-12-08,9.41,"127,631"
DAL,Delta Air Lines Inc,1,0,1,0,0,1,0,0,0,Services,"83,756",Major Airlines,58.52,58.91 - 60.50,42.491B,"Jan 10, 2018",43.81 - 60.50,"12,268,422",12.03,0.88,0.40,4.97,1.22 (2.18%),2017-11-16,59.11,"6,888,796"
DAN,Dana Inc,0,0,0,1,0,0,1,0,0,Consumer Goods,"29,400",Auto Parts,34.26,34.29 - 35.00,5.053B,"Feb 7, 2018",17.53 - 35.00,"649,217",7.31,1.76,31.80,4.77,0.24 (0.72%),2017-11-09,34.34,"1,276,187"
DAR,Darling International Inc,0,0,0,1,0,0,0,1,0,Industrial Goods,"10,000",Waste Management,18.74,18.77 - 19.16,3.154B,"Feb 26, 2018",11.51 - 19.16,"1,261,126",49.87,1.55,20.63,0.38,N/A (N/A),,18.86,"1,195,806"
DATA,Tableau Software Inc Class A,0,0,1,0,0,0,0,0,0,Technology,"3,223",Application Software,73.70,73.27 - 75.17,5.942B,"Jan 31, 2018",44.02 - 82.32,"738,293",,1.64,75.90,-2.11,N/A (N/A),,73.80,"812,401"
DBD,Diebold Nixdorf Inc,0,0,0,1,0,0,1,0,0,Technology,"24,000",Diversified Computer Systems,18.20,18.15 - 18.60,1.386B,"Feb 12, 2018",16.00 - 31.85,"1,274,318",,2.28,24.40,-2.69,0.40 (2.31%),2017-11-16,18.15,"1,317,269"
DCI,Donaldson Company,0,0,1,0,0,0,1,0,0,Industrial Goods,"13,200",Diversified Machinery,50.43,50.22 - 51.38,6.655B,"Feb 28, 2018",41.46 - 51.38,"658,808",28.94,1.1,14.98,1.77,0.72 (1.46%),2017-12-05,50.50,"394,668"
DCO,Ducommun Inc,0,0,0,1,0,0,0,0,0,Industrial Goods,"2,700",Aerospace/Defense Products & Services,29.08,28.91 - 29.78,335.768M,"Mar 5, 2018",25.06 - 35.58,"40,184",25.23,1.05,38.33,1.17,0.00 (0.00%),2011-02-16,29.15,"67,647"
DCOM,Dime Community Bncsh,0,0,0,1,0,0,0,1,0,Financial,338,Savings & Loans,21.95,21.75 - 22.25,819.561M,"Jan 24, 2018",18.35 - 22.65,"76,260",22.03,0.77,23.90,0.99,0.56 (2.60%),2017-11-03,21.95,"151,234"
DCT,Dct Industrial Trust Inc,0,0,1,0,0,0,1,0,0,Financial,146,REIT - Industrial,56.34,55.84 - 56.73,5.449B,"Feb 1, 2018",43.95 - 61.53,"594,122",51.26,0.77,61.57,1.1,1.44 (2.51%),2017-12-21,56.23,"497,576"
DDD,3D Systems Corp,0,0,0,1,0,0,1,0,0,Technology,"2,445",Computer Peripherals,,10.22 - 11.36,,"Feb 28, 2018",7.92 - 23.70,,,,,,N/A (N/A),,,
DDR,DDR Corp,0,0,1,0,0,0,0,0,0,Financial,540,REIT - Retail,8.57,8.41 - 8.63,3.157B,"Feb 12, 2018",7.26 - 15.57,"3,384,951",,0.59,9.43,-0.05,0.76 (8.87%),2017-12-11,8.54,"4,994,488"
DDS,Dillard's,0,0,0,1,0,0,1,0,0,Services,"21,600",Department Stores,66.00,66.17 - 71.93,1.994B,"Feb 19, 2018",45.51 - 83.44,"1,381,714",17.80,1.05,45.60,3.93,0.40 (0.63%),2017-12-28,66.88,"660,400"
